STATION,NAME,DATE,AWND,AWND_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT09,WT09_ATTRIBUTES
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2014-06-12,10.51,",,W",,,0.01,",,W,2400",0.0,",,W,",0.0,",,W,",,,76,",,W",61,",,W",120,",,W",110.0,",,W",21.0,",,W",25.1,",,W",1.0,",,W",,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2014-06-13,7.61,",,W",,,0.99,",,W,2400",0.0,",,W,",0.0,",,W,",,,81,",,W",67,",,W",260,",,W",260.0,",,W",21.0,",,W",28.0,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2014-06-14,12.53,",,W",,,0.0,",,W,2400",0.0,",,W,",0.0,",,W,",,,79,",,W",62,",,W",330,",,W",310.0,",,W",28.0,",,W",35.1,",,W",1.0,",,W",,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2014-06-15,11.63,",,W",,,0.0,",,W,2400",0.0,",,W,",0.0,",,W,",,,82,",,W",60,",,W",330,",,W",330.0,",,W",21.9,",,W",25.9,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2014-06-16,7.61,",,W",,,0.0,",,W,2400",0.0,",,W,",0.0,",,W,",,,77,",,W",64,",,W",170,",,W",170.0,",,W",14.1,",,W",17.0,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2014-06-17,8.05,",,W",,,0.0,"T,,W,2400",0.0,",,W,",0.0,",,W,",,,82,",,W",68,",,W",180,",,W",180.0,",,W",18.1,",,W",21.9,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2014-06-18,11.86,",,W",,,0.0,",,W,2400",0.0,",,W,",0.0,",,W,",,,91,",,W",74,",,W",300,",,W",300.0,",,W",28.0,",,W",36.0,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2014-06-19,8.28,",,W",,,0.05,",,W,2400",0.0,",,W,",0.0,",,W,",,,76,",,W",69,",,W",360,",,W",10.0,",,W",23.0,",,W",25.9,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2014-06-20,10.96,",,W",,,0.0,",,W,2400",0.0,",,W,",0.0,",,W,",,,83,",,W",65,",,W",340,",,W",350.0,",,W",18.1,",,W",23.9,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2014-06-21,8.28,",,W",,,0.0,",,W,2400",0.0,",,W,",0.0,",,W,",,,75,",,W",62,",,W",30,",,W",30.0,",,W",15.0,",,W",18.1,",,W",,,,,,,,,,,,,1.0,",,W",,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2014-06-22,6.04,",,W",,,0.0,",,W,2400",0.0,",,W,",0.0,",,W,",,,77,",,W",61,",,W",160,",,W",150.0,",,W",14.1,",,W",17.0,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2014-06-23,8.5,",,W",,,0.0,",,W,2400",0.0,",,W,",0.0,",,W,",,,81,",,W",62,",,W",170,",,W",170.0,",,W",19.9,",,W",21.9,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2014-06-24,14.32,",,W",,,0.0,",,W,2400",0.0,",,W,",0.0,",,W,",,,79,",,W",65,",,W",170,",,W",180.0,",,W",29.1,",,W",33.1,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2014-06-25,12.53,",,W",,,0.09,",,W,2400",0.0,",,W,",0.0,",,W,",,,83,",,W",68,",,W",170,",,W",180.0,",,W",23.9,",,W",31.1,",,W",1.0,",,W",,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2014-06-26,8.5,",,W",,,0.02,",,W,2400",0.0,",,W,",0.0,",,W,",,,89,",,W",70,",,W",90,",,W",30.0,",,W",18.1,",,W",23.9,",,W",1.0,",,W",,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2014-06-27,7.83,",,W",,,0.0,",,W,2400",0.0,",,W,",0.0,",,W,",,,79,",,W",65,",,W",90,",,W",90.0,",,W",17.0,",,W",21.9,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2014-06-28,8.5,",,W",,,0.0,",,W,2400",0.0,",,W,",0.0,",,W,",,,86,",,W",66,",,W",140,",,W",180.0,",,W",16.1,",,W",19.9,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2014-06-29,9.17,",,W",,,0.0,",,W,2400",0.0,",,W,",0.0,",,W,",,,79,",,W",65,",,W",170,",,W",250.0,",,W",19.9,",,W",25.9,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2014-06-30,12.97,",,W",,,0.0,",,W,2400",0.0,",,W,",0.0,",,W,",,,80,",,W",67,",,W",180,",,W",170.0,",,W",23.9,",,W",29.1,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2014-07-01,14.99,",,W",,,0.0,",,W,2400",0.0,",,W,",0.0,",,W,",,,84,",,W",71,",,W",180,",,W",180.0,",,W",30.0,",,W",38.0,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2014-07-02,11.86,",,W",,,0.52,",,W,2400",0.0,",,W,",0.0,",,W,",,,85,",,W",71,",,W",180,",,W",180.0,",,W",30.0,",,W",36.9,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2014-07-03,8.72,",,W",,,0.35,",,W,2400",0.0,",,W,",0.0,",,W,",,,85,",,W",71,",,W",190,",,W",190.0,",,W",28.0,",,W",35.1,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2014-07-04,14.99,",,W",,,0.32,",,W,2400",0.0,",,W,",0.0,",,W,",,,76,",,W",66,",,W",360,",,W",360.0,",,W",31.1,",,W",40.9,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2014-07-05,13.65,",,W",,,0.0,",,W,2400",0.0,",,W,",0.0,",,W,",,,84,",,W",65,",,W",310,",,W",300.0,",,W",25.1,",,W",31.1,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2014-07-06,12.75,",,W",,,0.0,",,W,2400",0.0,",,W,",0.0,",,W,",,,83,",,W",66,",,W",190,",,W",190.0,",,W",23.0,",,W",29.1,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2014-07-07,12.3,",,W",,,0.0,",,W,2400",0.0,",,W,",0.0,",,W,",,,83,",,W",70,",,W",190,",,W",190.0,",,W",21.0,",,W",25.1,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2014-07-08,14.54,",,W",,,0.0,"T,,W,2400",0.0,",,W,",0.0,",,W,",,,88,",,W",72,",,W",240,",,W",230.0,",,W",32.0,",,W",45.0,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",2014-07-09,11.63,",,W",,,0.01,",,W,2400",0.0,",,W,",0.0,",,W,",,,84,",,W",71,",,W",190,",,W",190.0,",,W",21.9,",,W",28.0,",,W",,,,,1.0,",,W",,,,,,,,,,
